a:	alay
aa:	anadolu ajansı
aadfi:	bk. akbb
aaet:	avrupa atom enerjisi topluluğu
aafse:	bk. gamhk (allied air forces southern europe)
ab:	1. adalet bakanlığı 2. amerikan borsası 3. avrupa birliği
abb:	avrupa birliği bankası
abd:	ana bilim dalı
abgs:	avrupa birliği genel sekreterliği
abkf:	avrupa bölgesel kalkınma fonu
abö:	afrika birliği örgütü
abs:	motorlu taşıtlarda fren sistemi (antilock braking system)
acu:	bk. atb (asian clearing union)
acü:	acıbadem üniversitesi
açsap:	ana çocuk sağlığı ve aile planlaması genel müdürlüğü
adb:	bk. akb (african development bank)
adfd:	bk. adkf (abu dhabi fund for development)
adkf:	abu dabi kalkınma fonu
adsl:	asimetrik sayısal abone hattı (asymmetric digital subscriber line)
adü:	adnan menderes üniversitesi
adyü:	adıyaman üniversitesi
aegm:	kültür ve turizm bakanlığı araştırma ve eğitim genel müdürlüğü
aei̇bö:	avrupa ekonomik i̇ş birliği örgütü
aek:	bk. bmaek
aet:	avrupa ekonomik topluluğu
aeü:	ahi evran üniversitesi
afad:	afet ve acil durum yönetimi başkanlığı
affb:	avrupa futbol federasyonları birliği
afi̇f:	akaryakıt fiyat i̇stikrar fonu
afp:	bk. fba (agence france press)
age.:	adı geçen eser
agi̇k:	avrupa güvenlik ve i̇ş birliği konferansı
agi̇t:	avrupa güvenlik ve i̇ş birliği teşkilatı
agm:	ağaçlandırma ve erozyon kontrolü genel müdürlüğü
agm.:	adı geçen makale
agy.:	adı geçen yayın
ai:	bk. uat (amnesty international)
ai̇bö:	avrupa i̇ş birliği örgütü
ai̇bü:	abant i̇zzet baysal üniversitesi
ai̇çü:	ağrı i̇brahim çeçen üniversitesi
aid:	bk. uka (agency for international development)
aids:	edinilmiş bağışıklık yetersizliği belirtisi (acquired immune deficiency syndrome)
ai̇had:	avrupa i̇nsan hakları adalet divanı
ai̇hm:	avrupa i̇nsan hakları mahkemesi
ai̇hs:	avrupa i̇nsan hakları sözleşmesi
ai̇k:	afrika i̇ktisat komisyonu
ai̇kb:	avrupa i̇mar ve kalkınma bankası
ai̇pb:	avrupa i̇ktisadi ve parasal birliği
ak:	avrupa konseyi
akb:	afrika kalkınma bankası
akbb:	afrika kalkınma bankaları birliği
akbi̇l:	akıllı bilet
akçt:	avrupa kömür ve çelik topluluğu
akd:	akdeniz üniversitesi
akdtyk:	atatürk kültür, dil ve tarih yüksek kurumu
akm:	atatürk kültür merkezi
akpm:	avrupa konseyi parlamenterler meclisi
akut:	arama kurtarma teşkilatı
akü:	afyon kocatepe üniversitesi
aladi:	bk. labb
alb.:	albay
ales:	akademik personel ve lisanüstü eğitimi giriş sınavı
alm.:	almanca
amb:	1. amerika merkez bankası 2. avrupa merkez bankası
amex:	bk. ab (american stock exchange)
